id,wod,category
44,"2017 crossfit games open wod


open 17.3
for reps
prior to 8 minutes, 3 rounds of:
6 chest-to-bar pull-ups
6 squat snatches (95/65 lb)

then 3 rounds of:
7 chest-to-bar pull-ups
5 squat snatches (135/95 lb)

* prior to 12 minutes, 3 rounds of:
8 chest-to-bar pull-ups
4 squat snatches (185/135 lb)

* prior to 16 minutes, 3 rounds of:
9 chest-to-bar pull-ups
3 squat snatches (225/155 lb)

* prior to 20 minutes, 3 rounds of:
10 chest-to-bar pull-ups
2 squat snatches (245/175 lb)

* prior to 24 minutes, 3 rounds of:
11 chest-to-bar pull-ups
1 squat snatch (265/185 lb)",other
45,"2017 crossfit games open wod


open 17.5
10 rounds for time
9 thrusters (95/65 lb)
35 double-unders

time cap: 40 minutes",for_time
46,"2016 crossfit games open wod


open 16.2
amrap in 20 minutes
continue until 4 minutes:
25 toes-to-bars
50 double-unders
15 squat cleans (135/85 lb)

if completed before 4 minutes, continue until 8 minutes:
25 toes-to-bars
50 double-unders
13 squat cleans (185/115 lb)

if completed before 8 minutes, continue until 12 minutes:
25 toes-to-bars
50 double-unders
11 squat cleans (225/145 lb)

if completed before 12 minutes, continue until 16 minutes:
25 toes-to-bars
50 double-unders
9 squat cleans (275/175 lb)

if completed before 16 minutes, continue until 20 minutes:
25 toes-to-bars
50 double-unders
7 squat cleans (315/205 lb)",amrap
47,"crossfit ""girl"" benchmark wod


diane
21-15-9 reps for time
deadlifts (225/155 lb)
handstand push-ups",for_time
48,"2021 crossfit games open workout #2


open 21.2
for time
10 dumbbell snatches (50/35 lb)
15 burpee box jump overs (24/20 in)
20 dumbbell snatches (50/35 lb)
15 burpee box jump overs (24/20 in)
30 dumbbell snatches (50/35 lb)
15 burpee box jump overs (24/20 in)
40 dumbbell snatches (50/35 lb)
15 burpee box jump overs (24/20 in)
50 dumbbell snatches (50/35 lb)
15 burpee box jump overs (24/20 in)

time cap: 20 minutes",for_time
49,"crossfit ""girl"" benchmark wod


nancy
5 rounds for time
400 meter run
15 overhead squats (95/65 lb)",for_time
50,"crossfit hero wod


loredo
6 rounds for time
24 air squats
24 push-ups
24 walking lunge steps
400 meter run",for_time
51,"crossfit ""girl"" benchmark wod


isabel
for time
30 snatches (135/95 lb)",for_time
52,"2011 crossfit games open wod


open 11.3
amrap in 5 minutes
1 squat clean (165/110 lb)
1 jerk (165/110 lb)",amrap
53,"crossfit ""girl"" benchmark/memorial wod


amanda
9-7-5 reps for time
muscle-ups
squat snatches (135/95 lbs)",for_time
54,"2019 crossfit games open workout #5


open 19.5
for time
33-27-21-15-9 reps of:
thrusters (95/65 lb)
chest-to-bar pull-ups

time cap: 20 minutes",for_time
55,"2014 crossfit games open wod


open 14.1
amrap in 10 minutes
30 double-unders
15 power snatches (75/55 lb)",amrap
56,"2017 crossfit games open wod


open 17.2
amrap in 12 minutes
2 rounds of:
50 ft dumbbell walking lunges (50/35 lb)
16 toe-to-bars
8 dumbbell power cleans (50/35 lb)
then, 2 rounds of:
50 ft dumbbell walking lunges (50/35 lb)
16 bar muscle-ups
8 dumbbell power cleans (50/35 lb)",amrap
57,"2020 crossfit open wod #5


open 20.5
for time
40 ring muscle-ups
80 calorie row
120 wall ball shots (20/14 lb)

partition any way

time cap: 20 minutes",for_time
58,"hero wod


the payne train
for time
300 meter run
5 rounds of cindy*
300 meter run
4 rounds of cindy*
300 meter run
3 rounds of cindy*
300 meter run
2 rounds of cindy*
300 meter run
1 round of cindy*
300 meter run

*1 round of cindy consists of 5 pull-ups, 10 push-ups, and 15 air squats.",for_time
59,"crossfit hero wod (aka: ""the cia seven"")


the seven
7 rounds for time
7 handstand push-ups
7 thrusters (135/95 lb)
7 knees-to-elbows
7 deadlifts (245/165 lb)
7 burpees
7 kettlebell swings (2/1.5 pood)
7 pull-ups",for_time
60,"ben bergeron

macho man
emom for as long as possible
3 power cleans (185/135 lb)
3 front squats (185/135 lb)
3 jerks (185/135 lb)",emom
61,"james fitzgerald

flight simulator
for time
5-10-15-20-25-30-35-40-45-50-45-40-35-30-25-20-15-10-5
unbroken double-unders",for_time
62,"crossfit benchmark wod

l1 benchmark
3 rounds for time:
15 thrusters (95/65 lb)
12 burpees",for_time
63,"2019 crossfit games open workout #2


open 19.2
amrap in 20 minutes
beginning on an 8-minute clock, complete as many reps as possible of:
25 toes-to-bars
50 double-unders
15 squat cleans (135/85 lb)
25 toes-to-bars
50 double-unders
13 squat cleans (185/115 lb)

if completed before 8 minutes, add 4 minutes to the clock and proceed to:
25 toes-to-bars
50 double-unders
11 squat cleans (225/145 lb)

if completed before 12 minutes, add 4 minutes to the clock and proceed to:
25 toes-to-bars
50 double-unders
9 squat cleans (275/175 lb)

if completed before 16 minutes, add 4 minutes to the clock and proceed to:
25 toes-to-bars
50 double-unders
7 squat cleans (315/205 lb)

time cap: 20 minutes",amrap
64,"crossfit hero wod


manion
7 rounds for time
400 meter run
29 back squats (135/95 lb)",for_time
65,"crossfit hero wod


bert
for time
50 burpees
400 meter run
100 push-ups
400 meter run
150 walking lunges
400 meter run
200 air squats
400 meter run
150 walking lunges
400 meter run
100 push-ups
400 meter run
50 burpees",for_time
66,"2016 crossfit games open wod


open 16.1
amrap in 20 minutes
25 foot overhead walking lunges (95/65 lb)
8 bar facing burpees
25 foot overhead walking lunges (95/65 lb)
8 chest-to-bar pull-ups",amrap
67,"assault fitness benchmark wod

you go i go
amrap (with a partner) in 12 minutes
7 burpees
6/4 calorie assault airbike
3 right-arm dumbbell hang clean-and-jerks (50/35 lb)
3 left-arm dumbbell hang clean-and-jerks (50/35 lb)

partners switch after each full round.",amrap
68,"2013 crossfit games open wod


open 13.1
amrap in 17 minutes
40 burpees
30 snatches (75/45 lb)
30 burpees
30 snatches (135/75 lb)
20 burpees
30 snatches (165/100 lb)
10 burpees
max snatches (210/120 lb)",amrap
69,"benchmark wod


fat amy
for time
50 air squats
10 burpees
40 sit-ups
10 burpees
30 lunges (alternating legs)
10 burpees
20 kettlebell swings (1.5/1 pood)
10 burpees
10 meter bear crawl
10 burpees
20 kettlebell swings (1.5/1 pood)
10 burpees
30 lunges (alternating legs)
10 burpees
40 sit-ups
10 burpees
50 air squats",for_time
70,"crossfit hero wod


holleyman
30 rounds for time
5 wall ball shots (20/14 lb)
3 handstand push-ups
1 power clean (225/155 lb)",for_time
71,"2019 crossfit games open workout #4


open 19.4
for total time
3 rounds of:
10 snatches (95/65 lb)
12 bar-facing burpees

3 minutes rest

then, 3 rounds of:
10 bar muscle-ups
12 bar-facing burpees

time cap: 12 minutes",for_time
72,"crossfit ""girl"" benchmark wod


jackie
for time
1,000 meter row
50 thrusters (45/35 lb bar)
30 pull-ups",for_time
73,"crossfit benchmark wod


death by…anything
emom for as long as possible
1 rep in the first minute
2 reps in the second minute
3 reps in the third minute
etc.",emom
74,"crossfit ""girl"" benchmark wod


angie
for time
100 pull-ups
100 push-ups
100 sit-ups
100 air squats",for_time
75,"crossfit hero wod


laura
amrap (with a partner) in 21 minutes
30 calorie row
20 burpees over rower
10 power cleans (155/105 lb)",amrap
76,"2017 crossfit games open wod


open 17.4
amrap in 13 minutes
55 deadlifts (225/155 lb)
55 wall ball shots (20/14 lb, 10/9 ft)
55 calorie row
55 handstand push-ups",amrap
77,"2018 pre-crossfit open benchmark wod (aka: ""18.zero"")


18.0
21-15-9 reps for time of:
dumbbell snatches (50/35 lb)
over-dumbbell burpees",for_time
78,"crossfit ""girl"" benchmark wod


kelly
5 rounds for time
400 meter run
30 box jumps (24/20 in)
30 wall ball shots (20/14 lb)",for_time
79,"2018 crossfit games open wod


open 18.2 & 18.2 a
for time
1-2-3-4-5-6-7-8-9-10 reps of:
dumbbell squats (2 x 50/35 lb)
bar-facing burpees

then, ""18.2 a""
1 rep max clean

time cap: 12 minutes",other
80,"crossfit ""girl"" benchmark wod


chelsea
emom for 30 minutes
5 pull-ups
10 push-ups
15 air squats",emom
81,"crossfit hero wod


randy
for time
75 power snatches (75/55 lb)",for_time
82,"crossfit ""girl"" benchmark wod


barbara
5 rounds for time
20 pull-ups
30 push-ups
40 sit-ups
50 air squats
3 minutes rest",for_time
83,"2016 crossfit games open wod


open 16.3
amrap in 7 minutes
10 power snatches (75/55 lb)
3 bar muscle-ups",amrap
84,"2013 crossfit games open wod


open 13.2
amrap in 10 minutes
5 shoulder-to-overheads (115/75 lb)
10 deadlifts (115/75 lb)
15 box jumps (24/20 in)",amrap
85,"crossfit ""girl"" benchmark wod


elizabeth
21-15-9 reps for time
cleans (135/95 lb)
ring dips",for_time
86,"men's fitness benchmark partner wod


chipper
for time (with a partner)
30 pull-ups
50 wall ball shots
50 sit-ups
100 kettlebell swings

perform every two minutes:
10 burpees",for_time
87,"2016 crossfit games open wod


open 16.4
amrap in 13 minutes
55 deadlifts (225/155 lb)
55 wall ball shots (20/14 lb)
55 calorie row
55 handstand push-ups",amrap
88,"2013 crossfit games open wod


open 13.5
amrap for as long as possible
15 thrusters (100/65 lb)
15 chest-to-bar pull-ups

if 90 reps (3 rounds) are completed in under 4 minutes, time extends to 8 minutes.

if 180 reps (6 rounds) are completed in under 8 minutes, time extends to 12 minutes. etc.",amrap
89,"2015 crossfit games open wod


open 15.4
amrap in 8 minutes
3 handstand push-ups
3 cleans (185/125 lb)
6 handstand push-ups
3 cleans (185/125 lb)
9 handstand push-ups
3 cleans (185/125 lb)
12 handstand push-ups
6 cleans (185/125 lb)
15 handstand push-ups
6 cleans (185/125 lb)
18 handstand push-ups
6 cleans (185/125 lb)
21 handstand push-ups
9 cleans (185/125 lb)
etc., following same pattern until time is up",amrap
90,"2023 crossfit games quarterfinals test 4


quarterfinals 23.4
amrap in 20 minutes
1,000 meter row
50 ghd sit-ups
500 meter row
25 v-ups",amrap
91,"crossfit benchmark wod


crossfit total
sum of the best of 3 attempts at each lift:
back squat
shoulder press
deadlift",for_load
92,"hero wod


mogadishu mile
4 rounds for time
19 kettlebell ground-to-overheads (53/35 lb)
19 kettlebell front squats (53/35 lb)
19 kettlebell push-ups (each hand)
400 meter kettlebell run

if you lose physical contact with your kettlebell, you must start that round over.",for_time
93,"crossfit hero wod


nate
amrap in 20 minutes
2 muscle-ups
4 handstand push-ups
8 kettlebell swings (2/1.5 pood)",amrap
94,"2015 crossfit games open wod


open 15.3
amrap in 14 minutes
7 muscle-ups
50 wall ball shots (20/14 lb)
100 double-unders",amrap
95,"crossfit hero wod


hotshots 19
6 rounds for time
30 air squats
19 power cleans (135/95 lb)
7 strict pull-ups
400 meter run",for_time
96,"2013 crossfit games open wod


open 13.4
amrap in 7 minutes
3 clean-and-jerks (135/95 lb)
3 toes-to-bars
6 clean-and-jerks (135/95 lb)
6 toes-to-bars
9 clean-and-jerks (135/95 lb)
9 toes-to-bars
12 clean-and-jerks (135/95 lb)
12 toes-to-bars
if athlete completes the round of 12, go on to 15. complete 15, go on the 18, etc.",amrap
97,"2014 crossfit games open wod


open 14.4
amrap in 14 minutes
60 calorie row
50 toes-to-bars
40 wall ball shots (20/14 lb, 10/9 ft)
30 cleans (135 lb)
20 muscle-ups",amrap
98,"hero wod


1lt derek hines
for total reps (with a partner)
buy-in with a buddy:
50 push-ups
50 sit-ups
50 air squats

then, emom for 25 minutes of:
100 meter shuttle run (50 meters out, 50 meters back)
plank hold

switch as needed.

cash-out with a buddy:
50 air squats
50 sit-ups
50 push-ups",emom
99,"2018 crossfit games open wod


open 18.5
amrap in 7 minutes
3 thrusters (100/65 lb)
3 chest-to-bar pull-ups
6 thrusters (100/65 lb)
6 chest-to-bar pull-ups
9 thrusters (100/65 lb)
9 chest-to-bar pull-ups
if you complete the round of 9, complete a round of 12, then go on to 15, etc.",amrap
100,"2011 crossfit games open wod


open 11.2
amrap in 15 minutes
9 deadlifts (155/100 lb)
12 push-ups
15 box jumps (24/20 in)",amrap
101,"crossfit ""girl"" benchmark wod


grettel
10 rounds for time
3 clean-and-jerks (135/95 lb)
3 bar over burpees",for_time
102,"memorial wod for scott beard (aka: ""scott's wod"")


relentless
for time (with a partner):
2,000 meter row
4 rounds of ""cindy""
50 toes-to-bar
4 rounds of ""cindy""
50 power cleans (135/95 lb)
4 rounds of ""cindy""
50 wall balls (20/14 lb)(10/9 ft)
4 rounds of ""cindy""
2,000 meter row

one round of ""cindy"" is 5 pull-ups, 10 push-ups, 15 air squats.

partners switch as needed, except during the rounds of ""cindy,"" where partners switch after each full round.",for_time
103,"chris spealler

hotel hell
for time
100 dumbbell hang clean thrusters (2x35/25 lb)

5 burpees to start, and at the top of each minute",for_time
104,"morning chalk up workout of the week

only 30 min
amrap in 30 minutes
from 0:00-5:00, amrap of:
3 bar muscle-ups
6 toes-to-bars
9 air squats

from 5:00-10:00, amrap of:
3 thrusters (110/75 lb)
6 front squats (110/75 lb)
9 bar facing burpees

from 10:00-15:00, amrap of:
3 devil presses (2x50/35 lb)
6 dumbbell front rack reverse lunges (2x50/35 lb)
9 box jump overs (24/20 in)

repeat 2x",amrap
105,"crossfit north benchmark wod


christine
3 rounds for time
500 meter row
12 deadlifts (bodyweight)
21 box jumps (24/20 in)",for_time
106,"crossfit mayhem benchmark wod

recovery day
3 rounds, for calories in 34 minutes
2 minutes air bike
2 minutes rest
2 minutes row
2 minutes rest
2 minutes skierg
2 minutes rest",other
107,"crossfit hero wod


zeus
3 rounds for time
30 wall ball shots (20/14 lb)
30 sumo deadlift high-pull (75/55 lb)
30 box jump (20 in)
30 push presses (75/55 lb)
30 calorie row
30 push-ups
10 back squats (bodyweight)",for_time
108,"hyrox workout of the week
wyck
for time
400 meter run
20 burpees
600 meter run
40 wall ball shots (20/14 lb)
800 meter run
60 sandbag lunges (60/40 lb)
1,000 meter run
60 sandbag lunges (60/40 lb)
800 meter run
40 wall ball shots (20/14 lb)
600 meter run
20 burpees
400 meter run",for_time
109,"aka: ""crossfit baseline,"" crossfit benchmark wod


baseline
for time
500 meter row
40 air squats
30 sit-ups
20 push-ups
10 pull-ups",for_time
110,"partner/team wod

frankenwod
4 rounds (in a team of 3) for max reps
station 1: run 200 meters, 50 double-unders
station 2: max reps of squat cleans (135/95 lb)
station 3: max reps of handstand push-ups

after the partner in station 1 completes the double-unders, each partner rotates to the next station.",other
111,"assault fitness benchmark wod


death by assault
emom for as long as possible
ascending assault bike calories

start with 3 calories. add 3 calories every minute until failure.",emom
112,"crossfit ""girl"" benchmark wod


mary
amrap in 20 minutes
5 handstand push-ups
10 pistols (alternating legs)
15 pull-ups",amrap
113,"dave durante

durante core
5 rounds for time
10 hollow rocks
10 v-ups
10 tuck ups
10 second hollow hold
1 minute rest",for_time
114,"beaux blackwood

popeye
3 rounds without breaking
30 curls (2x25/15 lb)
30 strict presses (2x25/15 lb)
30 lateral raises (2x25/15 lb)
30 hammer curls (2x25/15 lb)
30 upright rows (2x25/15 lb)
30 push presses (2x25/15 lb)
30 curls (2x25/15 lb)
1 minute rest",other
115,"socom athlete hero wod

chapman
for time
1,200 meter run
100 push-ups
25 broad-jumps
100 sit-ups
1,200 meter run
100 push-ups
25 broad jumps
100 sit-ups
1,200 meter run

wear a weight vest (20/14 lb)",for_time
116,"a4a tribute wod / ""charlotte amrap""

amrap 4 autism 2023 - charlotte
amrap (with a partner) in 32 minutes
8k/6k row*
44 push-ups
44 wall balls (20/14 lb)
44 box jumps (24/20 in)
44 abmat sit-ups

* one rows while the other works. if the row is completed, both partners may work together on the amrap.",amrap
117,"crossfit hero wod


whitten
5 rounds for time
22 kettlebell swings (2/1.5 pood)
22 box jumps (24/20 in)
400 meter run
22 burpees
22 wall ball shots (10/9 ft, 20/14 lb)",for_time
118,"crossfit hero wod


donny
21-15-9-9-15-21 reps, for time
deadlifts (225/155 lb)
burpees",for_time
119,"crossfit stimulus travel wod

super legs
5 rounds for time
20 air squats
20 alternating lunges
20 alternating split squat jumps
10 squat jumps",for_time
120,"crossfit benchmark wod


dirty thirty
for time
30 box jumps (24/20 in)
30 jumping pull-ups
30 kettlebell swings (35/26 lb)
30 lunges
30 knees-to-elbows
30 push presses (45/35 lb)
30 back extensions
30 wall ball shots (20/14 lb)
30 burpees
30 double-unders

time cap: 30 minutes",for_time
121,"2020 crossfit open wod #3


open 20.3
for time
21-15-9 reps of:
deadlifts (225/155 lb)
handstand push-ups

then, 21-15-9 reps of:
deadlifts (315/205 lb)
50 foot handstand walk

time cap: 9 minutes",for_time
122,"2015 crossfit games open wod


open 15.2
for as long as possible
from 0:00-3:00, 2 rounds of:
10 overhead squats (95/65 lb)
10 chest-to-bar pull-ups

from 3:00-6:00, 2 rounds of:
12 overhead squats (95/65 lb)
12 chest-to-bar pull-ups

from 6:00-9:00, 2 rounds of:
14 overhead squats (95/65 lb)
14 chest-to-bar pull-ups

follow the pattern until you fail to complete both rounds.",other
123,"2019 crossfit games open workout #3


open 19.3
for time
200 foot dumbbell overhead lunges (50/35 lb)
50 dumbbell box step-ups (24/20 in)
50 strict handstand push-ups
200 foot handstand walk

time cap: 10 minutes",for_time
124,"crossfit central scotland benchmark wod (aka: ""burpee bedlam"")


painstorm xxi
for time
30 burpees
30 deadlifts
30 burpees
30 cleans
30 burpees
30 single-arm strict presses (alternating)
30 burpees
30 push presses
30 burpees
30 push jerks
30 burpees
30 dumbbell swings
30 burpees
30 sumo deadlift high-pulls
30 burpees
30 snatches (left hand)
30 burpees
30 snatches (right hand)
30 burpees
30 man makers

use one pair of dumbbells (50/35 lb) throughout",for_time
